"","CID","maxlatency","mean_latency","mean_timeRetrieve","mean_timeSend","mean_time_pubsub"
"24","QmfEC7EPVDjjd5cFBpxgHuFByxJGnHNLdRYbG8Zb9BL1ZJ",373,252.102040816327,73620465.4897959,176577608,1.90396732653061
"25","QmfGQKtXFhBiW7MrMtuSvW5J1QWtzH7z5z1L3DtHG6Sonx",487,338.102040816327,89318675.4285714,244888445,3.8949203877551
"26","QmfWx2dLX6EWpYo2LmjJDTahfd379zFzm5SrsvFAgJAANG",442,305.367346938775,90508511.3469388,210314840,4.54399559183673
"27","QmfYa6MSaiwBqxmEXpnnvXunztof9binZLAUUQ1PF187NT",450,281.142857142857,92642763.6122449,186957039,1.54305453061224
"28","QmNa9RLkEeA8pZtGQ88nkoaKCqQJtRfDGp8fU8C3XFedmK",465,329.571428571429,89216459.6122449,235523072,4.83189695918368
"29","QmNd7jN8HQsrb8bKAA11EFqXunhQNgB12EU2qHXMz6rghF",560,325.979591836735,94726305.122449,228097735,3.15555171428572
"30","QmNuGHoBHeAiqaiaFDdnGXaBvVfCgpvtTZWc8hTFdogy3k",412,269.632653061225,90184655.5714286,177708932,1.73906548979592
"31","QmNxLfsGbo9SzEpno2LZWg3DciBHeDgwA7NErrCyBKXx9p",548,339.244897959184,90845460.3469388,243986143,4.41329461224489
"32","QmP8iL1MpxFea1nosquxz4ZDsi4qL4625urx7susnPeHWY",549,343.448979591837,95575027.9387755,243839939,4.03401265306123
"33","QmPB3aR1DLt1ESRmv1znUJhDBQUSvatAwd9EqJyr5Y8hQo",490,341.959183673469,85522300.9183673,251423083,5.01379975510204
"34","QmPBFAqr1xMZz39WnMbM3QpMtvTxZwhRwUGWa94uJxnqbh",483,337.897959183673,89718404,244325997,3.85355818367347
"35","QmPDMxw3JfpBhqYVs56H6W4jgaPVHb37KJZqDPwrD4uXSQ",549,331.714285714286,92235058.122449,235098702,4.38052559183673
"36","QmPhxvZS1v1Su8Sb2Gbt7fitt8FKo4pYvPbeq2hzkXsQeJ",474,322.734693877551,93338937.9591837,226937517,2.45823891836735
"37","QmPjTusyG3Uzuh5oTLfrCXjaKYFJjofAFWEcUgTu89a3Jc",478,327.020408163265,86890378.5306122,234577880,5.55214963265306
"38","QmPKwehYb1pPMTdyMAgfnvXbDBxYBQfD6DrgLDEXE6kiKL",484,343.142857142857,85979290.1020408,252860941,4.30262604081633
"39","QmPNnRhsc6R1htEZe1hXjkD7L27uVmJ2Hk3YASgTH5e4Nm",476,287.428571428571,91373409.4081633,193605864,2.44929802040816
"40","QmPNyHm5FYtBjSYPTV8bm6zNP15Bbp3WERs4sLp3NXHNDY",462,278.469387755102,91711888.755102,184981697,1.775802
"41","QmPo9LcetuTV24usN9PnaDDypyDJWxKyStZ6KQwidvDr42",523,369.571428571429,88147199.9795918,277258648,4.16558059183673
"42","QmPq8UaLYoPWaLkLtKxwwx4oyErUm6Ft5QF2114CK3TqrZ",505,352.65306122449,86858926.8367347,260236225,5.5579093877551
"43","QmPRAAUFS4d9BRdsGAu81WGR2Hqtm2ggxxxogagFUCCFnG",509,372.734693877551,91189040.4489796,276829429,4.71622442857143
"44","QmPTTfSnxPW235Df2A5Q6iWoRjFXwNvGTmPXvcYizd4yGK",480,355.081632653061,91052655.9387755,261471693,2.55728371428571
"45","QmQ2YJi9L3Vj7QtKFRFxKZJcxBHXAQ1JCVpd7HAt1zDJ2R",372,242.551020408163,79852778.4285714,160642065,2.05617697959184
"46","QmQcUXPMJu4UejHYWbv1WtwTfSUE9cM4hemg944vPvQHjZ",506,345.448979591837,91167877.5510204,251157446,3.12365604081633
"47","QmQx6R5XjhqNxsQX3NLFyW3dGErnES83diPDKcLBXGJKnu",415,284,80248780.7959184,202253398,1.49782120408163
"48","QmR4aUwm7m4AtrMHUH2CyLZohHQ4YiUykTRU5R6ziufnp7",470,326.673469387755,86793694.8571429,235822968,4.05680653061224
"49","QmRLaTCoKwJXUTVgqGrEYkaGhNKt6xSNZMpo2yAU7qfrqZ",514,384.428571428571,80318150.8571429,303252935,0.857485571428566
"50","QmRUubgWZUqynAW2URwMrjacNdkTZCYfHRJ5C5uPg3YcKm",476,301.714285714286,89906741.8979592,209808631,1.99891281632653
"51","QmSBVU19pQpWfZ5JPRFkjtk2HKfphBRXHrCgUjxUdqFjGn",381,270.30612244898,74822092.3265306,193738505,1.74552512244898
"52","QmSdneabcjT7TUh2T1AUmvbkHLAdZ6o3V5ZcFKEThYj3oY",581,373.265306122449,93928960.6530612,277372272,1.96407346938777
"53","QmShdKnN5eL1e2qGAVRy34UogRoVZfpLuqPEXoYzR1ifp6",500,325.387755102041,86208522.1020408,234257307,4.921926
"54","QmSLYgsZYzbyhvimjK4D9e6hbAkpjA9oNfMoUm6VREU8Xc",408,278,76065451.1836735,200995765,0.93878381632653
"55","QmSmPHuM7EoehEiwKXF6WRh7VDFNGDmsWLRNT45ca3Zg6P",543,366.489795918367,94308299.0612245,269969355,2.21214185714286
"56","QmSRsZfWxTnXWL5DfwnF8L8aXJj7rbZJpBjfAbWkJA2VBQ",501,336.428571428571,89586816.6734694,244003998,2.83775675510204
"57","QmSSHuvXJdUgXK7VkcYAsGFUYeh3yTzXYxqaM5UwrQfpfN",365,241,79935211.1632653,159528778,1.53601083673469
"58","QmSwZAfqLixJxQPKJ4tBFuj66MuAgNMvEUMVHvnCDEK7uv",550,306.040816326531,91167029.3877551,210082870,4.79091693877551
"59","QmTB7ptatDqcEqbqhXpn6cbTRNJPcpmdpTYxNcKfTKqiwE",515,339.571428571429,92729437.3061225,244014538,2.82745326530612
"60","QmTC2ZJ3pj292SBGixaQ9vHFurSHPq2xXxgdaf73Lsmz4R",411,291.040816326531,79592707.0816327,210073054,1.37505524489796
"61","QmTFGWtbQqzTURwRgr1iK6yifi1KfGsazKLRrWxxyb4Wxd",453,321.612244897959,90425147.4897959,226199669,4.98742840816327
"62","QmTJg2251zx2GcyQ1FKDiumjwD65vCkcRoyu72tNJfF2uh",533,357.265306122449,91538835.8367347,261523897,4.20257328571429
"63","QmToLdY1fdxzcdXk8G2JUwXj91P6tEtJwMNfmcUn7K4psV",437,291.408163265306,79627421.122449,209752977,2.02776514285714
"64","QmTpn6MmF9hFoJQB8KgD41uBz283QcBpjZ2HW2Q7oWWLXE",664,488.530612244898,92621560.4285714,392114876,3.79417581632653
"65","QmUj4CjEsUPTqXGhh83AZ8fhBF36RnRrdyPRfWkySFJa6h",482,332.102040816327,92553043.6326531,235498120,4.05087718367347
"66","QmUo58efj841c6iUQNDfK5p3amnJS4mY8FQGmJcx34nR5F",360,232.69387755102,78928116.0612245,152054529,1.71123248979592
"67","QmUvrmsosqYWTqp6QUWBMLWw8mn67nkJrMzziZfWDYjgvz",389,252.408163265306,73941758.4897959,176984308,1.4820967755102
"68","QmUXbfzCJBnUbaPAYJBssVRszZGBQxNRUYfQ2WekFwkgDC",551,359.448979591837,93216899.122449,261128168,5.10391246938776
"69","QmUXxTuur4H5rtJEaQE74xDdoL9oyVySEMGj6CqfaCPpJX",477,318.65306122449,88255610.0816327,227866428,2.53102314285714
"70","QmV4S3SDsZkHr1xZ4KKVVKJeA9MKJ3QjaUDR67k9MmTF2R",1197,710.795918367347,307966200.285714,399802995,3.02672308163266
"71","QmVdTsjvJ6SxdxDBbgiJGhViob86J32Njc6pFhJCXjjhDE",485,351.163265306122,86283565.8163265,260823909,4.05579048979592
"72","QmVmBRvLXhzs6VXbMoXrYN7r9w7Sn8bxSmcifF7Qq5p7jC",485,340.204081632653,91995267.9795918,243494794,4.71401965306123
"73","QmVofW7EdxCpfidzmYPQak4XujaWTpEQ9c75muQZ19XybB",498,346.040816326531,91275700.3265306,251454124,3.310992
"74","QmVPvB3bzCZZ2U75uoRhtWj32z2J3Seb51dfvAgzVaryJV",456,309.061224489796,96852053.7959184,210181782,2.02738869387755
"75","QmVQXhSHUxN2fuAPRuVyJZhbbAMVKhQfng5Fdu6McdTJLT",498,335.571428571429,90956391.5918367,242648757,1.96627997959184
"76","QmVrM5tGwzQweD2Xdexs2sTpSZmDPeYNuFEnKyQgW1GZYm",396,270.367346938775,75004980.0612245,193521371,1.84099587755102
"77","QmW4VKwEyAM7MJpNHfUResSZBzP3GGi7B6B5WYmVaPB9Nu",474,326.408163265306,89085362.5510204,234296426,3.02637471428572
"78","QmWaJ6s4FSJ3vBBNqWheiwwjAqwoHWXFPy6QirarqNPHME",487,348.469387755102,90846267.6122449,252396736,5.22638414285714
"79","QmWfKsUExXDbd6MemjTrtyMUoVMaXUG9hbXTpacrzgLxzi",469,330,89157577.7755102,234932402,5.91002022448979
"80","QmWSUru2Wc3ZtqBmmB2EU36VY7uhhodfDBdRuzg2tyshWx",480,335.612244897959,89140500.4693878,244030410,2.44133442857143
"81","QmWu7a67BsEBE3nSHsTpr9g4FMEbQHeVAEKNu8Hfz7rj4U",359,254.204081632653,76551840.877551,176320397,1.33184375510204
"82","QmWZezEz8YAEQvbDQZXow8K2W3ieHvr5PzsH7zir3T3R4g",498,336.081632653061,88043005.6326531,243345193,4.69343402040816
"83","QmX5Tu2PuSquXxtEXmaNi1h3dmgaMyniYUjGpgva7XQGKP",474,279.408163265306,92252868.5102041,185431892,1.72340275510204
"84","QmX6x7qmG6uTMimcLZ7Qn186PYMAY1VNEhqq686kf3QLyg",563,356.102040816327,91273784.8979592,260781856,4.04639991836735
"85","QmX9aiUWwWn5vxe1zLeA8pyGdoGVauuHw7WWoTuCq6yhwR",501,347.795918367347,90633996.3061225,252137457,5.02446506122448
"86","QmXb5FMnh7zH1UDGEbywdi5CHXvMSmV3vYdrCMTakZddZN",502,348.163265306122,92729283.6734694,252095974,3.33800763265306
"87","QmXMwsacVqew7DRGZ7MYiz5NaJGaz6f3867BYxzDxR8W7u",554,351,95186670.0408163,251495599,4.31773095918367
"88","QmXxWJNvFTL5ASzvVRZV9xzLRARq73gTgfq9zyAeTLhCSD",490,345.775510204082,89080563.9795918,252654037,4.04090922448979
"89","QmY4EnYNPpoNMHGNk3aZbdfnswvVQDtaoMjyGwSydzLb6P",511,350.673469387755,93861933.7755102,251651310,5.1602256122449
"90","QmYc2bg3x2H4K9h3A9aJkWN8FUHapof796SH9eMJkZ3JBE",467,326.408163265306,84817088.122449,236007082,5.58399314285714
"91","QmYcuwbRMtE9eTa8TykkuLi5V7D9XeGAKYPtxbptWdz768",509,337.142857142857,87993257.3265306,243970546,5.17905381632653
"92","QmYJ7mvnta37U9Wzr2UM7pP1niEfw8a5BW33QSDUsmpELq",496,328.795918367347,91380434.4897959,234459149,2.95633487755102
"93","QmYwRe16dG99GzfpaqrjcwMrNcGrFGS5qyadZ7ojAZ6b8M",530,371.795918367347,90999327.6326531,278234443,2.56214773469388
"94","QmZ17iSxr6sE18Wsewb46Rgd1VhbGSf2yXkAu9oJ4VETP1",420,266.612244897959,87616195.5714286,176766357,2.22969232653061
"95","QmZ17mRFTcjhDHikd7vwSfTWKXwNBRmpgXW9z6z3dgiDUE",510,343.30612244898,88374840.2857143,252693698,2.2375841632653
"96","QmZ9QW1hwzyYGBYW7pvPTxYSJg4BUHwASqCx1egByxCiLq",495,347.877551020408,90367953.5510204,252024469,5.48512846938775
"97","QmZah7Qb2voLb16MbtXqRm2RN3AUR9GR22U4FbxJYkQZSW",520,356.244897959184,85761470.6122449,268303282,2.18014534693878
"98","QmZmXUPGtaq4QF98Y4ygx9VRnnF1nLtH3Efxx5hfCXcq1d",372,244.040816326531,73665266.5510204,168488295,1.8872547755102
"99","QmZWuyDAez4tj1dsrhWL8RNbrbAkbdB3Z2VVtTYVLu1UdS",447,318.204081632653,81551894.3061225,235652000,1.00018732653061
"100","QmZYkAk3MNCNtCyx7EJFV3MepoZyEkbPaPS2JCNFFzesYj",466,323.857142857143,85246479.6122449,235179322,3.43134124489796
